,Course Name,Course Acronym,Course Code,Prerequisites,Antirequisites,Semester
,Perspectives of Knowledge,PoK,SSH223,None,None,Monsoon
,3D Creation for Extended Reality (XR),3CER,DES532A,None,None,Winter
,"Computer, Information Ethics and Society",CIES,SSH224,None,None,Winter
,Physics of Semiconductor Devices,PSD,ECE210/ECE310,None,None,Winter
,Interaction Design Perspectives Methods,IDPM,DES533,None,None,Winter
,Tangible User Interfaces,TUI,DES531,"PIS(DES206),DPP(DES201)",None,Winter
,Democracy in India: Principles and Practices,DIPP,SSH261,None,None,Winter
,Electronic System Design,ESD,ECE211,"BE(ECE113),BasicProgramming",None,Winter
,Theories of Ethics,TE,SSH300,None,None,Monsoon
,Urban Space and Gender,USG,SOC719A,SOC308(GenderandMedia),None,Winter
,Advanced Writing,AW,SSH311,None,None,Winter
,Systems for AI,SAI,CSE634A,CSE-231,None,Winter
,Applied Ethics,AE,SSH321,None,None,Winter
,Parameterized Algorithms,PALG,CSE619,"CSE222(ADA)orCSE525(GraduateAlgorithms),DiscreteMathematics(DM)",None,Monsoon
,New Media and Politics,NMP,SSH323,None,None,Monsoon
,Advanced Digital Design and Verification,ADDV,ECE527,VLSIDesignFlow(ECE313/ECE513),None,Monsoon
,Philosophy of Mind,PoM,SSH324,SSH121,None,Winter
,VLSI Design Flow,VDF,ECE513/ECE313,"DigitalCircuits,BasicsofCMOSInverter",None,Monsoon
,Experiential Learning,EL,ENT303A,None,None,Monsoon
,"Political Anthropology: State, Subject, Power",PASSP,SOC216,None,None,Monsoon
,State and Subject: Advanced topics in political anthropology,APA,SOC702/505,1SOCclass,None,Monsoon
,"Governing AI: History, Theory, Policy (New)",GAI,SSH341/SSH541,None,None,Monsoon
,Comparative Politics in Digital Era,CPDE,SSH361,None,None,Winter
,Intelligent Product Design Workshop,,ECE323/EVE323/ECE526,None,None,Summer
,Urban Space and Political Power,USPP,SSH362/SSH562,None,None,Monsoon/Winter
,Philosophy of Technology,PT,SSH3PT,None,None,Winter
,Data and Society,D&S,SSH711,None,None,Monsoon
,Extended Reality in Industry,ERI,DES534,None,3CER,Monsoon
,Politics in Digital Era,PDE,SSH240,None,None,Monsoon
,Algorithmic techniques for Robot Planning (new),ARP,CSE634,CSE102DataStructures&Algorithms,None,Monsoon
,Logic and Artificial Intelligence,L&AI,MTH501,"DiscreteMathematics(CSE121),DiscreteStructures(MTH210)orequivalent",None,Monsoon
,Probabilistic Methods in Combinatorics,PMC,MTH523/CSE623,"DiscreteStructures/DiscreteMathematics,ADA/GraduateAlgorithms",None,Monsoon
,Introduction to Computational Complexity,ICC,CSE624A,"CSE121,CSE322,CSE102,MTH201",None,Monsoon
,Advanced Solid-state Devices (ASD),ASSD,ECE613,ECE210andequivalentforPG,None,Winter
,Ubiquitous Computing,UC,DES535,None,None,Winter
,"Advanced Topics in Partial Differential 
Equations",ATPD,MTH548,None,None,Winter
,Several Complex Variables,SCV,MTH547,"Realanalysis,Complexanalysis,Linearalgebra,Abstractalgebra",None,Winter
,Digital Technologies and Social Entrepreneurship,DTSE,ENT304,None,None,Winter
,"Social Innovation, Corporate Social Responsibility and Sustainable Development",SICSRSD,ENT305,None,None,Winter
,Decision Making for Multi-robot Systems,,CSE667,CSE102DataStructures&Algorithms,None,Winter
,Explainable AI,EAI,CSE615,"CSE101IntrotoProgramming,CSE102DataStructures&Algorithms,CSE343/CSE543MachineLearning",None,Winter
,"Image, Screen, Interface",ISI,SOC309/509,1SSHClassat2xx,None,Winter
,Advanced Readings in Moral and Political Philosophy,,SSH721,None,None,Winter
,Graduate Systems (GS),,CSE638,None,"CSE231,CSE232",Winter
,Advanced Computer Networks,,CSE666,OperatingSystems(CSE231),CSE637,Winter
,Percolation Theory,,MTH579,"MTH102ProbabilityandStatistics,orequivalent/MTH371StochasticProcessesandApplications,orequivalent.",None,Winter
,Foundations of Biology-I,,BIO102,None,None,Winter
,Design Research,,DES536,None,None,Winter
,Introduction to Bioinspired Algorithms and Optimal Control,,BIO525,None,None,Winter
,Measure Theoretic Probability,,MTH 580A,"MTH102:ProbabilityandStatistics,orequivalent;MTH240:RealAnalysisIorequivalent",None,Winter
